investor,section,content
peter_lynch,investment_philosophy,Peter Lynch managed the Fidelity Magellan fund from 1977 to 1990 and serves as a vice-chairman of Fidelity Management and Research.
peter_lynch,investment_philosophy,"The core principle of stock investing is that you are buying a share of the company's earnings, a concept best visualized by comparing the stock's price line to its earnings line over time."
peter_lynch,investment_philosophy,"A key philosophy is the willingness to buy almost any company at the right price, shifting between categories like growth stocks and cyclicals based on which group is currently undervalued."
peter_lynch,investment_philosophy,Use the relationship between a company's stock price (P) and its earnings (E) to determine if a stock is expensive or cheap.
peter_lynch,investment_philosophy,"Focus on a company's earnings trajectory to understand its fundamental health, rather than just looking at the stock price movement."
peter_lynch,investment_philosophy,The story of a stock can be understood by charting its price line against its earnings line over time.
peter_lynch,investment_philosophy,"Stay invested in stocks for the long haul, as attempting to time the market by avoiding corrections is a losing strategy that significantly reduces returns."
peter_lynch,investment_philosophy,"Only invest money in stocks that you will not need for other purposes in the foreseeable future, with a reasonable investment horizon being twenty years."
peter_lynch,investment_philosophy,"Favor growth companies, which are defined as steady performers that can prosper in all economic conditions, as opposed to cyclicals."
peter_lynch,investment_philosophy,"The primary focus for an investor should be on the company's ""story"" and whether it remains valid, rather than short-term stock price fluctuations. A stock can fall significantly and still be a great long-term investment if the underlying business story is intact."
peter_lynch,investment_philosophy,Significant long-term wealth is created by investing in companies with sustainable high growth rates. A company growing earnings at 20% annually can become an eight-bagger in 14 years.
peter_lynch,investment_philosophy,"Analyzing the long-term relationship between a company's stock price (P) and its earnings (E) is crucial. This ""story"" reveals the company's actual performance versus Wall Street's expectations and helps identify if a stock is cheap or expensive."
peter_lynch,investment_philosophy,"I use charts that plot a company's stock price against its earnings line to find value among growth companies, not to perform technical analysis or predict short-term market movements."
peter_lynch,investment_philosophy,"If a company can maintain its earnings growth, investors will be rewarded in the long run, regardless of short-term market sentiment or valuation."
peter_lynch,investment_philosophy,"Stocks are preferable to bonds for long-term growth, as they have historically provided far superior returns over inflation."
peter_lynch,investment_philosophy,"To succeed in stocks, one must have a long-term time horizon and the conviction to hold, or even add to positions, during market corrections."
peter_lynch,investment_philosophy,"The investment approach should adapt to the company type; fast-growers should reinvest earnings for expansion, while for slow-growers, a rising dividend is a key attraction."
peter_lynch,investment_philosophy,"The foundation of investing is understanding the company's 'story,' which is a simple, real-world narrative explaining the business and its prospects."
