investor,section,content
howard_marks,investment_philosophy,"Risk aversion is the essential element that keeps markets safe and sane, as it forces investors to demand generous compensation for bearing risk."
howard_marks,investment_philosophy,"Assembling a portfolio that incorporates risk control is a hidden accomplishment most of the time, since risk only turns into loss occasionally when tested by negative events."
howard_marks,investment_philosophy,Investing is a fascinating and challenging pursuit because there is no single formula that can simultaneously minimize all the different types of risk.
howard_marks,investment_philosophy,"Risk management is a primary determinant of achieving excellent investment returns, and a deep understanding of risk is essential."
howard_marks,investment_philosophy,"The true definition of risk is the uncertainty of an outcome and the possibility of permanent loss, not the academic concept of volatility, which is an inadequate and often irrelevant metric."
howard_marks,investment_philosophy,"The relationship between risk and return is not a simple line; as risk increases, the range of possible outcomes widens, incorporating both higher potential returns and a greater possibility of loss."
howard_marks,investment_philosophy,"Investment risk is primarily the likelihood of a permanent loss of capital or an unacceptably low return, not price volatility."
howard_marks,investment_philosophy,"Risk is subjective and personal, not intrinsic to the investment itself, as different investors have different needs, goals, and constraints."
howard_marks,investment_philosophy,"The market is not an efficient machine that precisely assesses risk and allocates prospective returns proportionately, partly because risk is not easily quantifiable like volatility."
howard_marks,investment_philosophy,"Investors cannot expect to make money without taking risks, but they must demand and receive adequate compensation, in the form of risk premiums, for any incremental risk they bear."
howard_marks,investment_philosophy,"True investment success comes not from being risk-tolerant, but from being appropriately risk-averse, as this is the mindset that leads to demanding proper compensation for risk."
howard_marks,investment_philosophy,"Oaktree's philosophy includes being alert for periods when other investors forget to fear risk, as these are the times when risk premiums disappear from the market."
howard_marks,investment_philosophy,Investors should generally prefer liquid investments and only take on illiquidity if they are being sufficiently rewarded with a return premium for that specific risk.
howard_marks,investment_philosophy,"Oaktree was built on the belief that risk control is 'the most important thing,' as it extends an investment career and increases the likelihood of long-term success."
howard_marks,investment_philosophy,"The investor's job is to strike a proper balance between offense (pursuit of gain) and defense (loss prevention); in risky environments, it's important to pay more attention to loss prevention."
